Horas,Carga,GerSolar,CargaVE,Previsao
0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
2.25,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0
2.75,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
3.25,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0
3.75,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
4.25,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0
4.75,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9.0,100.0,1000.0,0.0,1000.0
9.25,77.5,1250.0,0.0,1250.0
9.5,55.0,1500.0,0.0,1500.0
9.75,32.5,1750.0,0.0,1750.0
10.0,10.0,2000.0,0.0,1750.0
10.25,257.5,2250.0,0.0,2250.0
10.5,505.0,2500.0,0.0,2500.0
10.75,752.5,2750.0,0.0,1750.0
11.0,1000.0,3000.0,0.0,1750.0
11.25,1250.0,3500.0,2500.0,3500.0
11.5,1500.0,4000.0,3750.0,4000.0
11.75,1750.0,4500.0,3750.0,3750.0
12.0,2000.0,5000.0,4000.0,2750.0
12.25,1750.0,4750.0,3750.0,3750.0
12.5,1500.0,4500.0,2500.0,4500.0
12.75,1250.0,4250.0,1250.0,4250.0
13.0,1000.0,4000.0,0.0,4000.0
13.25,775.0,3750.0,0.0,3750.0
13.5,550.0,3500.0,0.0,3500.0
13.75,325.0,3250.0,0.0,3250.0
14.0,100.0,3000.0,0.0,3000.0
14.25,77.5,2750.0,0.0,2750.0
14.5,55.0,2500.0,0.0,2500.0
14.75,32.5,2250.0,0.0,2250.0
15.0,10.0,2000.0,0.0,2000.0
15.25,10.0,1750.0,0.0,1750.0
15.5,10.0,1500.0,0.0,1500.0
15.75,10.0,1250.0,0.0,1250.0
16.0,10.0,1000.0,0.0,1000.0
16.25,10.0,1000.0,0.0,1000.0
16.5,10.0,1000.0,0.0,1000.0
16.75,10.0,1000.0,0.0,1000.0
17.0,10.0,1000.0,0.0,1000.0
17.25,32.5,775.0,0.0,775.0
17.5,55.0,550.0,0.0,550.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
20.25,1250.0,0.0,0.0,0.0
20.5,1500.0,0.0,0.0,0.0
20.75,1750.0,0.0,0.0,0.0
21.0,2000.0,0.0,0.0,0.0
21.25,1625.0,0.0,0.0,0.0
21.5,1250.0,0.0,0.0,0.0
21.75,875.0,0.0,0.0,0.0
22.0,500.0,0.0,0.0,0.0
22.25,377.5,0.0,0.0,0.0
22.5,255.0,0.0,0.0,0.0
22.75,132.5,0.0,0.0,0.0
23.0,10.0,0.0,0.0,0.0
23.25,10.0,0.0,0.0,0.0
23.5,10.0,0.0,0.0,0.0
23.75,10.0,0.0,0.0,0.0
